diasuransikan	di @@asuransi @@kan
jaga	jaga
mencemari	men @@cemar @@i
penghematan	pen @@hemat @@an
tempati	tempat @@i
memerbaiki	men @@perbaiki
positifnya	positif @@nya
ibuku	ibu @@ku
ditindaklanjuti	di @@tindaklanjut @@i
kluster	kluster
tidurnya	tidur @@nya
mentari	mentari
merayu	men @@rayu
langkahnya	langkah @@nya
celah	celah
kembalikan	kembali @@kan
baris	baris
sumur	sumur
tinjauan	tinjau @@an
sutradara	sutradara
putri	putri
jual	jual
kabinet	kabinet
kaku	kaku
transisi	transisi
kadar	kadar
bohong	bohong
berani	berani
strata	strata
bermula	ber @@mula
teguran	tegur @@an
bertiup	ber @@tiup
pengumuman	pen @@umum @@an
didapatkannya	di @@dapat @@kan @@nya
pilihnya	pilih @@nya
berkontribusi	ber @@kontribusi
pembantaian	pen @@bantai @@an
daerah	daerah
perlintasan	per @@lintas @@an
sasarannya	sasar @@an @@nya
kosmetik	kosmetik
mengemban	men @@emban
tercium	ter @@cium
diwujudkan	di @@wujud @@kan
pemantauannya	pen @@pantau @@an @@nya
menantikan	menanti @@kan
puas	puas
layak	layak
ambruk	ambruk
terintimidasi	ter @@intimidasi
mengenalnya	men @@kenal @@nya
memeriksa	men @@periksa
misinya	misi @@nya
popoknya	popok @@nya
managemen	managemen
ditunda	di @@tunda
mencanangkan	men @@canang @@kan
merawat	men @@rawat
dokter	dokter
hadiah	hadiah
sampelnya	sampel @@nya
bertarung	ber @@tarung
membenci	men @@benci
membatasi	men @@batas @@i
keluarganya	keluarga @@nya
terbunuhnya	ter @@bunuh @@nya
advokat	advokat
disisipkan	di @@sisip @@kan
pengharapan	pen @@harap @@an
bubar	bubar
cabang	cabang
alih	alih
arahan	arah @@an
ketidakterbukaan	ke @@tidak @@terbuka @@an
penyederhanaan	pen @@sederhana @@an
saya	saya
didasarkan	di @@dasar @@kan
kapal	kapal
pelatihan	pen @@latih @@an
pemogokan	pen @@mogok @@an
menganggur	men @@anggur
kenalannya	kenal @@an @@nya
menteri	menteri
menghilangkan	men @@hilang @@kan
pelupa	pen @@lupa
merintis	men @@rintis
pencalonan	pen @@calon @@an
tebang	tebang
perkiraan	per @@kira @@an
akibat	akibat
tertuju	ter @@tuju
bawang	bawang
les	les
membayar	men @@bayar
gema	gema
mengharapkannya	men @@harap @@kan @@nya
anjloknya	anjlok @@nya
berpotensi	ber @@potensi
membekaskan	men @@bekas @@kan
tanggap	tanggap
tertawa	ter @@tawa
pemakaian	pen @@pakai @@an
mengembara	men @@kembara
perisai	perisai
susukan	susu @@kan
dimiliki	di @@milik @@i
wisata	wisata
mencicipi	men @@cicip @@i
pernapasan	per @@napas @@an
mendekati	men @@dekat @@i
optimisme	optimisme
ketidaksanggupan	ke @@tidak @@sanggup @@an
melihat	men @@lihat
dibuatnya	di @@buat @@nya
penampilan	pen @@tampil @@an
memaknai	men @@makna @@i
memfoto	men @@foto
malas	malas
saldo	saldo
inisiatif	inisiatif
pinjamannya	pinjam @@an @@nya
persegi	persegi
peliharaannya	pelihara @@an @@nya
brasil	brasil
menyiasatinya	men @@siasat @@i @@nya
dijadikan	di @@jadi @@kan
bidan	bidan
rela	rela
mendua	men @@dua
telingamu	telinga @@mu
robot	robot
ketidaksepakatan	ke @@tidak @@sepakat @@an
sore	sore
antarkuota	antar @@kuota
penyejuk	pen @@sejuk
pemda	pemda
harmonis	harmonis
dinasehati	di @@nasehat @@i
cangkang	cangkang
diremajakan	di @@remaja @@kan
biasa	biasa
persampahan	per @@sampah @@an
motivasi	motivasi
disebutnya	di @@sebut @@nya
pencapaian	pen @@capai @@an
pendosa	pen @@dosa
menyentak	men @@sentak
pesona	pesona
rusaknya	rusak @@nya
kesannya	kesan @@nya
goncangan	goncang @@an
berujar	ber @@ujar
memperlemah	men @@lemah
dilantunkan	di @@lantun @@kan
praktik	praktik
kampanye	kampanye
gembalaku	gembala @@aku
bertingkah	ber @@tingkah
menasehati	men @@nasehat @@i
satuan	satu @@an
dipertahankan	di @@per @@tahan @@kan
imunisasinya	imunisasi @@nya
kupenuhi	ku @@penuh @@i
aktifitas	aktifitas
semprot	semprot
perizinan	per @@izin @@an
permodalan	per @@modal @@an
berpraktik	ber @@praktik
kedudukan	ke @@duduk @@an
pandangannya	pandang @@an @@nya
peristiwa	peristiwa
menamainya	men @@nama @@i @@nya
turunannya	turun @@an @@nya
bersertifikat	ber @@sertifikat
dengar	dengar
geram	geram
penegasan	pen @@tegas @@an
menimpa	men @@timpa
kerabat	kerabat
manajer	manajer
pabrik	pabrik
ditinggalkannya	di @@tinggal @@kan @@nya
konteksnya	konteks @@nya
pemberitahuannya	pen @@beritahu @@an @@nya
wadah	wadah
tujuan	tuju @@an
harum	harum
polos	polos
timbunan	timbun @@an
dibenci	di @@benci
memagari	men @@pagar @@i
rombongan	rombong @@an
penyeleksian	pen @@seleksi @@an
berjarak	ber @@jarak
targetnya	target @@nya
opsi	opsi
bangsa	bangsa
perserikatan	per @@serikat @@an
berimbang	ber @@imbang
merapat	men @@rapat
nopember	nopember
berdenyut	ber @@denyut
pencukur	pen @@cukur
leganya	lega @@nya
disarankan	di @@saran @@kan
kertasnya	kertas @@nya
pelajaran	pelajar @@an
bekerjasama	bekerjasama
penyempitan	pen @@sempit @@an
tandatangani	tandatangan @@i
menunggangi	men @@tunggang @@i
karakter	karakteri
mesjid	mesjid
pembukuan	pen @@buku @@an
memperpendek	men @@pendek
lupakan	lupa @@kan
target	target
memasukan	men @@pasukan
luput	luput
aduan	adu @@an
persaudaraan	per @@saudara @@an
gurunya	guru @@nya
jasanya	jasa @@nya
for	for
kuartal	kuartal
emosionalnya	emosional @@nya
ketidakpastian	ke @@tidak @@pasti @@an
mengokohkan	men @@kokoh @@kan
terjalin	ter @@jalin
berlindung	ber @@lindung
menggerus	men @@gerus
zaman	zaman
kepercayaan	ke @@percaya @@an
atmosfir	atmosfir
luang	luang
berdiri	ber @@diri
pakai	pakai
sarananya	sarana @@nya
polusi	polusi
menggandakan	men @@ganda @@kan
memotivasi	men @@motivasi
dibangunnya	di @@bangun @@nya
menginduk	men @@induk
amarahnya	amarah @@nya
menginvestigasi	men @@investigasi
sana	sana
dibunuh	di @@bunuh
angsa	angsa
cengkeh	cengkeh
peranakan	per @@anak @@an
pergeseran	per @@geser @@an
ketidaksuburan	ke @@tidak @@subur @@an
menitipkan	men @@titip @@kan
difungsikan	di @@fungsi @@kan
apartemen	apartemen
bergejolak	ber @@gejolak
diabaikannya	di @@abai @@kan @@nya
koperasi	koperasi
pangan	pangan
ringkasannya	ringkas @@an @@nya
kampus	kampus
cuacanya	cuaca @@nya
bersenjatakan	ber @@senjata @@kan
dikenakannya	di @@kena @@kan @@nya
diratifikasi	di @@ratifikasi
mempublikasikan	men @@publikasi @@kan
paten	paten
pemanah	pen @@panah
lelang	lelang
perpindahan	per @@pindah @@an
pembidiknya	pen @@bidik @@nya
berharganya	ber @@harga @@nya
ciuman	cium @@an
kamboja	kamboja
bercahaya	ber @@cahaya
tatap	tatap
gali	gali
takuti	takut @@i
dikompensasi	di @@kompensasi
penolakan	pen @@tolak @@an
membalikkan	men @@balik @@kan
gelap	gelap
menyempurnakan	men @@sempurna @@kan
sempit	sempit
mengejar	men @@kejar
memanennya	men @@panen @@nya
pengalengan	pen @@kaleng @@an
jurusan	jurus @@an
bermuara	ber @@muara
terkemuka	ter @@kemuka
panen	panen
gawang	gawang
mengkonfirmasikan	men @@konfirmasi @@kan
pemuka	pen @@muka
nonusaha	non @@usaha
sekehendaknya	se @@kehendak @@nya
nyaman	nyaman
ditekuni	di @@tekun @@i
pengetatan	pen @@ketat @@an
menggembirakan	men @@gembira @@kan
menunggu	men @@tunggu
binasa	binasa
pendengar	pen @@dengar
menghabiskan	men @@habis @@kan
diperlukannya	di @@perlu @@kan @@nya
penyeragaman	pen @@seragam @@an
dibatalkannya	di @@batal @@kan @@nya
keponakan	keponakan
mengirimkannya	men @@kirim @@kan @@nya
menjejakkan	men @@jejak @@kan
kelola	kelola
jarangnya	jarang @@nya
medali	medali
hina	hina
operasinya	operasi @@nya
direktur	direktur
pengungsi	pen @@ungsi
sesuatunya	sesuatu @@nya
suaranya	suara @@nya
polisi	polisi
pertobatannya	per @@tobat @@an @@nya
terwakili	ter @@wakil @@i
bantuan	bantu @@an
jarang	jarang
peraturan	per @@atur @@an
diklaim	di @@klaim
responsnya	respons @@nya
kuadratnya	kuadrat @@nya
pengunjung	pen @@kunjung
menyemangatinya	men @@semangat @@i @@nya
memberiku	men @@beri @@ku
terpenting	ter @@penting
mengucapkan	men @@ucap @@kan
dipandu	di @@pandu
profil	profil
cerah	cerah
ditimbulkan	di @@timbul @@kan
tolak	tolak
kejar	kejar
menangisinya	men @@tangis @@i @@nya
pergumulan	per @@gumul @@an
gubernurnya	gubernur @@nya
menyibak	men @@sibak
disetorkan	di @@setor @@kan
tanya	tanya
menyebutkan	men @@sebut @@kan
manfaatnya	manfaat @@nya
dahsyat	dahsyat
tangkai	tangkai
menjatuhkan	men @@jatuh @@kan
dievaluasi	di @@evaluasi
utangnya	utang @@nya
ratusan	ratus @@an
meyakini	men @@yakin @@i
melayu	melayu
meredakan	men @@reda @@kan
seusia	se @@usia
membanjiri	men @@banjir @@i
mengganggu	men @@ganggu
tangkapannya	tangkap @@an @@nya
kelasnya	kelas @@nya
bukit	bukit
perombakan	pen @@rombak @@an
karat	karat
kehinaan	ke @@hina @@an
menyisihkan	men @@sisih @@kan
penyembahan	pen @@sembah @@an
berskala	ber @@skala
melahirkan	men @@lahir @@kan
menipu	men @@tipu
menyantuni	men @@santun @@i
terkucil	ter @@kucil
pengaduan	pen @@adu @@an
penahanan	pen @@tahan @@an
terlaksana	ter @@laksana
pemanis	pen @@manis
bertunangan	ber @@tunang @@an
pandangnya	pandang @@nya
menyangka	men @@sangka
paksa	paksa
disahkannya	di @@sah @@kan @@nya
pagi	pagi
sedangkan	sedang @@kan
orientasi	orientasi
ramah	ramah
pengintai	pen @@intai
invasi	invasi
mangkuk	mangkuk
urgensi	urgensi
produser	produser
sediakan	sedia @@kan
terhampar	ter @@hampar
medalinya	medali @@nya
penguburan	pen @@kubur @@an
tarif	tarif
menyalin	men @@salin
pendokumentasian	pen @@dokumentasi @@an
sahut	sahut
nuklir	nuklir
kejatuhan	ke @@jatuh @@an
kabupaten	kabupaten
acak	acak
mengeluarkan	men @@keluar @@kan
izinnya	izin @@nya
parlemen	parlemen
membawa	men @@bawa
menanti	menanti
ditambahkan	di @@tambah @@kan
dingin	dingin
tampungnya	tampung @@nya
bangku	bangku
dikejar	di @@kejar
diserap	di @@serap
bertani	ber @@tani
disenangi	di @@senang @@i
unggulan	unggul @@an
independensi	independensi
semangat	semangat
kebangkitan	ke @@bangkit @@an
nyawaku	nyawa @@aku
makmur	makmur
poin	poin
penggandaan	pen @@ganda @@an
warganegaranya	warganegara @@nya
hilangnya	hilang @@nya
mengeram	men @@eram
lurahnya	lurah @@nya
merampas	men @@rampas
mengikat	men @@ikat
pertunjukan	per @@tunjuk @@an
mataku	mata @@aku
kukatakan	ku @@kata @@kan
definisi	definisi
kental	kental
mengenakan	men @@kena @@kan
mengaruniakan	men @@karunia @@kan
abdikan	abdi @@kan
membelakangi	men @@belakang @@i
untung	untung
tuntas	tuntas
diajar	di @@ajar
dominan	dominan
diberitakannya	di @@berita @@kan @@nya
jawaban	jawab @@an
kukenal	ku @@kenal
berkreasi	ber @@kreasi
ditimbang	di @@timbang
pertarungan	per @@tarung @@an
kakek	kakek
berfungsinya	ber @@fungsi @@nya
terdiam	ter @@diam
argumen	argumen
rekening	rekening
timah	timah
sensasi	sensasi
pengalokasiannya	pen @@alokasi @@an @@nya
mengacuhkan	men @@acuh @@kan
taat	taat
antarwaktu	antar @@waktu
personelnya	personel @@nya
gizi	gizi
narkoba	narkoba
mengirimi	men @@kirim @@i
meteran	meter @@an
seraya	se @@raya
dijumpai	di @@jumpa @@i
politiknya	politik @@nya
jalur	jalur
dicetuskan	di @@cetus @@kan
simpulan	simpul @@an
arena	arena
keluhan	keluh @@an
ismail	ismail
dibaharui	di @@baharu @@i
berhimpitan	ber @@himpit @@an
pasaran	pasar @@an
eksekutif	eksekutif
diincar	di @@incar
artistik	artistik
doktor	doktor
mengakomodasikan	men @@akomodasi @@kan
memandangi	men @@pandang @@i
regenerasi	regenerasi
kabar	kabar
debu	debu
meresahkan	men @@resah @@kan
penginjilan	pen @@injil @@an
ditempeli	di @@tempel @@i
administrator	administrator
pemilihan	pen @@pilih @@an
tenaganya	tenaga @@nya
vaksin	vaksin
menyantap	men @@santap
iurannya	iuran @@nya
dirobek	di @@robek
bergirang	ber @@girang
mengikatnya	men @@ikat @@nya
privasinya	privasi @@nya
sesederhana	se @@sederhana
ditargetkan	di @@target @@kan
batang	batang
bermutu	ber @@mutu
menyetujui	men @@setuju @@i
diingatnya	di @@ingat @@nya
cadang	cadang
balai	bala @@i
mengkomunikasikan	men @@komunikasi @@kan
bersalju	ber @@salju
antargereja	antar @@gereja
dilanda	di @@landa
diperdalam	di @@per @@dalam
terpikirkan	ter @@pikir @@kan
perabot	perabot
khas	khas
tentara	tentara
gadis	gadis
melontarkan	men @@lontar @@kan
dihadiahi	di @@hadiah @@i
lulusan	lulus @@an
penghuni	pen @@huni
lewat	lewat
perdananya	perdana @@nya
minyak	minyak
menjejali	men @@jejal @@i
petinju	pen @@tinju
lebar	lebar
1950an	1950 @@an
fasilitasi	fasilitas @@i
pendapatnya	pen @@dapat @@nya
diuraikan	di @@urai @@kan
keheranan	ke @@heran @@an
utusan	utus @@an
amal	amal
alias	alias
membangkitkan	men @@bangkit @@kan
pelacur	pen @@lacur
menggabungkan	men @@gabung @@kan
mengepalai	men @@kepala @@i
menderita	men @@derita
menceritakannya	men @@cerita @@kan @@nya
penyelang	pen @@selang
ragu	ragu
pakaiannya	pakai @@an @@nya
akasia	akasia
perbedaan	per @@beda @@an
menabur	men @@tabur
berdarah	ber @@darah
pemburu	pen @@buru
tertunda	ter @@tunda
menyebar	men @@sebar
belakang	belakang
cakupan	cakup @@an
perangnya	perang @@nya
rontokan	rontok @@an
sekayu	se @@kayu
pakaian	pakai @@an
tangan	tangan
pemikir	pen @@pikir
sikapnya	sikap @@nya
mengabdi	men @@abdi
mengitariku	men @@kitar @@i @@ku
dipahami	di @@paham @@i
neneknya	nenek @@nya
menyalurkan	men @@salur @@kan
miskinnya	miskin @@nya
menghalangimu	men @@halang @@i @@mu
dikagumi	di @@kagum @@i
mengolah	men @@olah
kebutuhanku	ke @@butuh @@an @@ku
diairi	di @@air @@i
menandatangani	men @@tandatangan @@i
dipukul	di @@pukul
deregulasi	deregulasi
milyaran	milyar @@an
suksesi	sukses @@i
unggul	unggul
penghasil	pen @@hasil
dikeluarkannya	di @@keluar @@kan @@nya
ranjang	ranjang
wol	wol
memuat	men @@muat
distribusinya	distribusi @@nya
magnetis	magnetis
nomor	nomor
jurus	jurus
penciumannya	pen @@cium @@an @@nya
traktornya	traktor @@nya
tuannya	tuan @@nya
terkendala	ter @@kendala
pemikirannya	pen @@pikir @@an @@nya
esensi	esens @@i
mengontrakkan	men @@kontrak @@kan
murni	murni
penyinaran	pen @@sinar @@an
sajian	saji @@an
pelabuh	pen @@labuh
resiko	resiko
bangunannya	bangun @@an @@nya
misteri	misteri
bobroknya	bobrok @@nya
membakar	men @@bakar
ketidaktersediaan	ke @@tidak @@tersedia @@an
masyarakat	masyarakat
mengungkap	men @@ungkap
berpengaruh	ber @@pengaruh
bungkusnya	bungkus @@nya
dianggarkan	di @@anggar @@kan
pengaturannya	pen @@atur @@an @@nya
kadonya	kado @@nya
mingguan	minggu @@an
menggandeng	men @@gandeng
tempo	tempo
usah	usah
penderitaannya	pen @@derita @@an @@nya
menyambut	men @@sambut
canggih	canggih
referensi	referensi
jadikan	jadi @@kan
tugasku	tugas @@ku
mengalokasikannya	men @@alokasi @@kan @@nya
meluluskan	men @@lulus @@kan
dikelola	di @@kelola
sebetulnya	se @@betul @@nya
memperkatakan	men @@kata @@kan
olimpiade	olimpiade
menyejukkan	men @@sejuk @@kan
memanggilnya	men @@panggil @@nya
ilahi	ilahi
mengutuknya	men @@kutuk @@nya
sebutan	sebut @@an
merelokasikan	men @@relokasi @@kan
penyelesai	pen @@selesai
pengusahaan	pen @@usaha @@an
kunci	kunci
perekat	pen @@rekat
sabar	sabar
selamat	selamat
mengerti	mengerti
nurani	nurani
pertolongannya	per @@tolong @@an @@nya
setangkai	se @@tangkai
kartunya	kartu @@nya
rawan	rawan
menginjakkan	men @@injak @@kan
ketidakpuasan	ke @@tidak @@puas @@an
dijahitkan	di @@jahit @@kan
air	air
cabai	cabai
bernada	ber @@nada
berminat	ber @@minat
paparan	papar @@an
optimis	optimis
percayanya	percaya @@nya
membosankan	men @@bosan @@kan
meneruskannya	men @@terus @@kan @@nya
transaksi	transaksi
benda	benda
mendinginkan	men @@dingin @@kan
baki	bak @@i
perilakunya	perilaku @@nya
seni	seni
goncangkan	goncang @@kan
permasalahannya	per @@masalah @@an @@nya
curahan	curah @@an
penulis	pen @@tulis
butir	butir
jahe	jahe
warna	warna
dicobai	di @@coba @@i
fakultas	fakultas
perjumpaan	per @@jumpa @@an
diikutsertakan	di @@ikutserta @@kan
pegang	pegang
dinyatakannya	di @@nyata @@kan @@nya
penghilang	pen @@hilang
pembunuh	pen @@bunuh
dijualnya	di @@jual @@nya
tenang	tenang
mengejutkan	men @@kejut @@kan
stabilitas	stabilitas
wilayahnya	wilayah @@nya
persidangan	per @@sidang @@an
beradaptasi	ber @@adaptasi
bulanan	bulan @@an
diperkirakan	di @@per @@kira @@kan
aumannya	aum @@an @@nya
pengaman	pen @@aman
kebunnya	kebun @@nya
berpikir	ber @@pikir
cacing	cacing
kupon	kupon
penyataan	pen @@nyata @@an
menginginkanmu	men @@ingin @@kan @@mu
menerus	men @@terus
sebagian	sebagian
relevansinya	relevansi @@nya
memandang	men @@pandang
goyangkan	goyang @@kan
mengkoordinir	men @@koordinir
dinyanyikan	di @@nyanyi @@kan
dipinjam	di @@pinjam
sebangsamu	se @@bangsa @@mu
gugus	gugus
dijadwalkan	di @@jadwal @@kan
bangkrut	bangkrut
pertanyaannya	per @@tanya @@an @@nya
macam	macam
mendasari	men @@dasar @@i
membuang	men @@buang
lapak	lapak
saksama	saksama
mempraktekkan	men @@praktek @@kan
hartamu	harta @@mu
rekapitulasinya	rekapitulasi @@nya
hatinya	hati @@nya
intensitas	intensitas
manusianya	manusia @@nya
familinya	famili @@nya
menyetujuinya	men @@setuju @@i @@nya
mengosongkannya	men @@kosong @@kan @@nya
membuat	men @@buat
cucu	cucu
bertanggungjawab	ber @@tanggungjawab
puncaknya	puncak @@nya
komunitasnya	komunitas @@nya
gusar	gusar
kasih	kasih
perajin	pen @@rajin
distrik	distrik
sebesar	se @@besar
menangkis	men @@tangkis
disekolahkan	di @@sekolah @@kan
penyatuan	pen @@satu @@an
lontarkan	lontar @@kan
cantik	cantik
memindahkan	men @@pindah @@kan
mencarinya	men @@cari @@nya
luka	luka
antartahun	antar @@tahun
teralih	ter @@alih
pemetikan	pen @@petik @@an
giliran	gilir @@an
menyetor	men @@setor
sekolahnya	sekolah @@nya
pemberantasan	pen @@berantas @@an
diwakilinya	di @@wakil @@i @@nya
masai	masa @@i
mencium	men @@cium
kita	kita
santunan	santun @@an
pajak	pajak
terhalang	ter @@halang
berdatangan	ber @@datang @@an
mengekspor	men @@ekspor
pemasyarakatan	pen @@masyarakat @@an
kaum	kaum
potongan	potong @@an
terkumpul	ter @@kumpul
diloloskan	di @@lolos @@kan
diperbaruinya	di @@per @@baru @@i @@nya
membahu	men @@bahu
cek	cek
galak	galak
teramati	ter @@amati
kecilnya	kecil @@nya
mengingatkan	men @@ingat @@kan
tempatnya	tempat @@nya
pertanggungjawaban	per @@tanggungjawab @@an
tanggungjawab	tanggungjawab
fakir	fakir
pasukan	pasukan
pemalsu	pen @@palsu
dusunnya	dusun @@nya
menorehkan	men @@toreh @@kan
agen	agen
berseberangan	ber @@seberang @@an
hatiku	hati @@ku
antarpemerintahan	antar @@pen @@perintah @@an
penyerangan	pen @@serang @@an
kepalamu	kepala @@mu
diekspor	di @@ekspor
melekatnya	men @@lekat @@nya
mengkhususkan	men @@khusus @@kan
mengklasifikasi	men @@klasifikasi
ditabung	di @@tabung
mencampuri	men @@campur @@i
nutrisi	nutrisi
gelang	gelang
tunduk	tunduk
melonjaknya	men @@lonjak @@nya
merekomendasi	men @@rekomendasi
mengatasi	men @@atas @@i
adanya	ada @@nya
tuna	tuna
kolonial	kolonial
pengerasan	pen @@keras @@an
melumpuhkan	men @@lumpuh @@kan
perolehan	peroleh @@an
pemajuan	pen @@maju @@an
fakta	fakta
dipindahkan	di @@pindah @@kan
melantunkan	men @@lantun @@kan
kebutuhanmu	ke @@butuh @@an @@mu
meluncur	men @@luncur
utuh	utuh
pengemis	pen @@kemis
melimpahnya	men @@limpah @@nya
pungutannya	pungut @@an @@nya
pembangunannya	pen @@bangun @@an @@nya
masyarakatnya	masyarakat @@nya
diusahakan	di @@usaha @@kan
es	es
perkuliahan	per @@kuliah @@an
sukar	sukar
misi	misi
ketidaklayakan	ke @@tidak @@layak @@an
anak	anak
riset	riset
penyanyi	pen @@nyanyi
selesainya	selesai @@nya
sosis	sosis
melengkapi	men @@lengkap @@i
membimbingnya	men @@bimbing @@nya
menyelenggarakannya	men @@selenggara @@kan @@nya
artian	arti @@an
disidang	di @@sidang
memutakhirkan	men @@mutakhir @@kan
wajah	wajah
menetapkannya	men @@tetap @@kan @@nya
penyerapan	pen @@serap @@an
menanyakannya	men @@tanya @@kan @@nya
mendekatkan	men @@dekat @@kan
pertambahan	per @@tambah @@an
mempercepat	men @@cepat
perputaran	per @@putar @@an
indah	indah
mandinya	mandi @@nya
gunting	gunting
dijelang	di @@jelang
vonis	vonis
melukainya	men @@luka @@i @@nya
terhentinya	ter @@henti @@nya
plastik	plastik
sertifikasi	sertifikasi
pengarahan	pen @@arah @@an
dikeluarkan	di @@keluar @@kan
halnya	hal @@nya
tanganmu	tangan @@mu
anonim	anonim
mm	mm
penanggulangan	pen @@tanggulang @@an
editorialnya	editorial @@nya
bentuk	bentuk
potret	potret
menyadarinya	men @@sadar @@i @@nya
terarah	ter @@arah
jasad	jasad
suntikan	suntik @@an
pasal	pasal
cukupi	cukup @@i
menakjubkan	men @@takjub @@kan
obat	obat
wasiat	wasiat
perorangan	per @@orang @@an
kacang	kacang
penggelapan	pen @@gelap @@an
sampingnya	samping @@nya
bapak	bapak
jualbeli	jualbeli
betina	betina
lidahnya	lidah @@nya
penggundulan	pen @@gundul @@an
menelaah	men @@telaah
massal	massal
memikirkan	men @@pikir @@kan
bergelantungan	ber @@gelantung @@an
arti	arti
penayangan	pen @@tayang @@an
memberitahunya	men @@beritahu @@nya
warganya	warga @@nya
menganggukkan	men @@angguk @@kan
dihasilkan	di @@hasil @@kan
produktif	produktif
berlokasi	ber @@lokasi
agroindustri	agroindustri
dimintakan	di @@minta @@kan
menghindarinya	men @@hindar @@i @@nya
terangkum	ter @@rangkum
menipis	men @@tipis
tanamannya	tanam @@an @@nya
menggandakannya	men @@ganda @@kan @@nya
kilang	kilang
berumur	ber @@umur
mengingini	men @@ingin @@i
keruh	keruh
dipresentasikan	di @@presentasi @@kan
perguliran	per @@gulir @@an
tahunannya	tahun @@an @@nya
jerman	jerman
skala	skala
penyelesaian	pen @@selesai @@an
makannya	makan @@nya
kuotanya	kuota @@nya
dipikirnya	di @@pikir @@nya
tegar	tegar
gigih	gigih
tertulis	ter @@tulis
pakunya	paku @@nya
depan	depan
melukiskan	men @@lukis @@kan
pergolakan	per @@golak @@an
dijajakan	di @@jaja @@kan
bergantian	ber @@ganti @@an
fungsinya	fungsi @@nya
gua	gua
personil	personil
berduri	ber @@duri
upacara	upacara
perceraiannya	per @@cerai @@an @@nya
bagusnya	bagus @@nya
menyebarnya	men @@sebar @@nya
ekspresi	ekspresi
diperlunak	di @@per @@lunak
rantai	rantai
selengkap	se @@lengkap
luasnya	luas @@nya
terinspirasi	ter @@inspirasi
kitabnya	kitab @@nya
